Time,Activity Mode,Probability Value,Activity Level
697.18,0,78,0
698.18,0,62,0
699.19,0,58,0
700.19,0,15,0
701.19,0,89,0
702.19,0,44,0
703.19,0,17,0
704.19,0,77,10
705.2,0,19,10
706.2,0,59,10
707.2,1,0,10
708.2,0,97,10
709.2,0,30,10
710.2,0,41,5
711.21,0,58,5
712.21,0,61,5
713.21,0,51,5
714.21,0,25,5
715.21,0,32,5
716.21,0,97,0
717.21,0,34,0
718.22,0,38,0
719.22,0,54,0
720.22,0,60,0
721.22,0,1,0
722.22,0,43,0
723.22,0,20,0
724.22,0,29,0
725.23,0,42,0
726.23,0,91,0
727.23,0,56,0
728.23,0,31,0
729.23,0,68,0
730.23,0,71,0
731.24,0,9,0
732.24,0,100,0
733.24,0,17,0
734.24,0,41,0
735.24,0,98,0
736.24,0,31,0
737.24,0,93,0
738.25,0,20,0
739.25,0,83,0
740.25,0,45,0
741.25,0,6,0
742.25,0,100,0
743.25,0,76,0
744.26,0,35,0
745.26,0,19,0
746.26,0,60,0
747.26,0,35,0
748.26,0,41,0
749.27,0,35,0
750.27,0,55,0
751.27,0,94,0
752.27,0,2,0
753.27,0,65,0
754.27,0,16,0
755.28,0,46,0
756.28,0,91,0
757.28,0,53,0
758.28,0,4,0
759.28,0,57,0
760.29,0,88,0
